hz,note,midi,string,fret,token_idx
82.40688923,E2,40,6,0,0
87.30705786,F2,41,6,1,1
92.49860568,F#2,42,6,2,2
97.998859,G2,43,6,3,3
103.8261744,G#2,44,6,4,4
110,A2,45,6,5,5
116.5409404,A#2,46,6,6,6
123.4708253,B2,47,6,7,7
130.8127827,C3,48,6,8,8
138.5913155,C#3,49,6,9,9
146.832384,D3,50,6,10,10
155.5634919,D#3,51,6,11,11
164.8137785,E3,52,6,12,12
174.6141157,F3,53,6,13,13
184.9972114,F#3,54,6,14,14
195.997718,G3,55,6,15,15
207.6523488,G#3,56,6,16,16
220,A3,57,6,17,17
233.0818808,A#3,58,6,18,18
246.9416506,B3,59,6,19,19
261.6255653,C4,60,6,20,20
277.182631,C#4,61,6,21,21
293.6647679,D4,62,6,22,22
311.1269837,D#4,63,6,23,23
329.6275569,E4,64,6,24,24
110,A2,45,5,0,25
116.5409404,A#2,46,5,1,26
123.4708253,B2,47,5,2,27
130.8127827,C3,48,5,3,28
138.5913155,C#3,49,5,4,29
146.832384,D3,50,5,5,30
155.5634919,D#3,51,5,6,31
164.8137785,E3,52,5,7,32
174.6141157,F3,53,5,8,33
184.9972114,F#3,54,5,9,34
195.997718,G3,55,5,10,35
207.6523488,G#3,56,5,11,36
220,A3,57,5,12,37
233.0818808,A#3,58,5,13,38
246.9416506,B3,59,5,14,39
261.6255653,C4,60,5,15,40
277.182631,C#4,61,5,16,41
293.6647679,D4,62,5,17,42
311.1269837,D#4,63,5,18,43
329.6275569,E4,64,5,19,44
349.2282314,F4,65,5,20,45
369.9944227,F#4,66,5,21,46
391.995436,G4,67,5,22,47
415.3046976,G#4,68,5,23,48
440,A4,69,5,24,49
146.832384,D3,50,4,0,50
155.5634919,D#3,51,4,1,51
164.8137785,E3,52,4,2,52
174.6141157,F3,53,4,3,53
184.9972114,F#3,54,4,4,54
195.997718,G3,55,4,5,55
207.6523488,G#3,56,4,6,56
220,A3,57,4,7,57
233.0818808,A#3,58,4,8,58
246.9416506,B3,59,4,9,59
261.6255653,C4,60,4,10,60
277.182631,C#4,61,4,11,61
293.6647679,D4,62,4,12,62
311.1269837,D#4,63,4,13,63
329.6275569,E4,64,4,14,64
349.2282314,F4,65,4,15,65
369.9944227,F#4,66,4,16,66
391.995436,G4,67,4,17,67
415.3046976,G#4,68,4,18,68
440,A4,69,4,19,69
466.1637615,A#4,70,4,20,70
493.8833013,B4,71,4,21,71
523.2511306,C5,72,4,22,72
554.365262,C#5,73,4,23,73
587.3295358,D5,74,4,24,74
195.997718,G3,55,3,0,75
207.6523488,G#3,56,3,1,76
220,A3,57,3,2,77
233.0818808,A#3,58,3,3,78
246.9416506,B3,59,3,4,79
261.6255653,C4,60,3,5,80
277.182631,C#4,61,3,6,81
293.6647679,D4,62,3,7,82
311.1269837,D#4,63,3,8,83
329.6275569,E4,64,3,9,84
349.2282314,F4,65,3,10,85
369.9944227,F#4,66,3,11,86
391.995436,G4,67,3,12,87
415.3046976,G#4,68,3,13,88
440,A4,69,3,14,89
466.1637615,A#4,70,3,15,90
493.8833013,B4,71,3,16,91
523.2511306,C5,72,3,17,92
554.365262,C#5,73,3,18,93
587.3295358,D5,74,3,19,94
622.2539674,D#5,75,3,20,95
659.2551138,E5,76,3,21,96
698.4564629,F5,77,3,22,97
739.9888454,F#5,78,3,23,98
783.990872,G5,79,3,24,99
246.9416506,B3,59,2,0,100
261.6255653,C4,60,2,1,101
277.182631,C#4,61,2,2,102
293.6647679,D4,62,2,3,103
311.1269837,D#4,63,2,4,104
329.6275569,E4,64,2,5,105
349.2282314,F4,65,2,6,106
369.9944227,F#4,66,2,7,107
391.995436,G4,67,2,8,108
415.3046976,G#4,68,2,9,109
440,A4,69,2,10,110
466.1637615,A#4,70,2,11,111
493.8833013,B4,71,2,12,112
523.2511306,C5,72,2,13,113
554.365262,C#5,73,2,14,114
587.3295358,D5,74,2,15,115
622.2539674,D#5,75,2,16,116
659.2551138,E5,76,2,17,117
698.4564629,F5,77,2,18,118
739.9888454,F#5,78,2,19,119
783.990872,G5,79,2,20,120
830.6093952,G#5,80,2,21,121
880,A5,81,2,22,122
932.327523,A#5,82,2,23,123
987.7666025,B5,83,2,24,124
329.6275569,E4,64,1,0,125
349.2282314,F4,65,1,1,126
369.9944227,F#4,66,1,2,127
391.995436,G4,67,1,3,128
415.3046976,G#4,68,1,4,129
440,A4,69,1,5,130
466.1637615,A#4,70,1,6,131
493.8833013,B4,71,1,7,132
523.2511306,C5,72,1,8,133
554.365262,C#5,73,1,9,134
587.3295358,D5,74,1,10,135
622.2539674,D#5,75,1,11,136
659.2551138,E5,76,1,12,137
698.4564629,F5,77,1,13,138
739.9888454,F#5,78,1,14,139
783.990872,G5,79,1,15,140
830.6093952,G#5,80,1,16,141
880,A5,81,1,17,142
932.327523,A#5,82,1,18,143
987.7666025,B5,83,1,19,144
1046.502261,C6,84,1,20,145
1108.730524,C#6,85,1,21,146
1174.659072,D6,86,1,22,147
1244.507935,D#6,87,1,23,148
1318.510228,E6,88,1,24,149
